ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-48.1917724609375,-42.117676,60740.96,25.348701,0.15469134,56.714745161614836,3082.187,10.633314,-263.75469970703125,-256.05734,76973.43,5479,152000
-47.3271484375,-41.449516,58776.344,15.679789,0.13417126,6.713560722063146,2393.8135,8.703788,-215.897216796875,-208.17108,77261.34,5588,155200
52.19490432739258,55.374798,31798.922,0.007369711,0.0007779181,17.160994589441017,2297.9414,7.4432883,-208.58633422851562,-200.8307,77556.26,5616,155900
-82.8813247680664,-76.35957,65217.547,503.48016,2.9446146,16.494976818922776,1684.1027,5.6660223,-165.87796020507812,-158.09103,77869.23,6248,173900
-47.58148193359375,-41.610176,59713.08,18.546644,0.084911525,114.93269060831376,1392.6877,4.0170894,-145.0748291015625,-137.25587,78189.47,6372,177200
44.849082946777344,48.058132,32090.492,0.009601567,0.0014511668,20.259086884806198,1030.875,3.650257,-120.37557220458984,-112.52463,78509.445,6413,178700
-62.234169006347656,-55.84867,63855.0,222.00381,0.7810091,28.732867277540805,945.9094,3.1364555,-114.30859375,-106.427536,78810.54,6555,182700
38.50613021850586,42.423683,39175.523,0.011952519,0.0017731788,17.364023552381187,709.5204,2.2165732,-97.71833038330078,-89.80917,79091.59,6711,187100
-43.56584167480469,-40.627266,29385.746,4.290922,0.060049232,10.023072865165464,496.34778,1.6782348,-82.95287322998047,-75.02002,79328.55,6732,187600
23.818870544433594,26.509842,26909.719,0.054150127,0.0045498535,24.692076413218576,2081.3516,5.6472826,-192.9117431640625,-184.95926,79524.78,6812,190200
-64.71556854248047,-58.19974,65158.29,254.95749,0.96007824,12.830868312351212,1109.2314,3.0424666,-125.36317443847656,-117.41556,79476.16,6972,194600
55.03380584716797,59.190277,41564.715,0.006348009,0.00049991824,17.003871560476448,475.91208,1.8878582,-81.71800994873047,-73.77902,79389.84,7038,196700
-46.33843231201172,-41.102787,52356.47,11.25169,0.064585865,15.285779327720523,362.3333,1.2967136,-73.62237548828125,-65.693405,79289.71,7202,202300
-53.021820068359375,-46.534065,64877.562,88.36278,0.37988216,16.56346506604827,261.51474,1.0419677,-66.61697387695312,-58.698868,79181.03,7232,203100
-123.31473541259766,-117.41411,59006.297,1002.59814,13.703681,13.45890694430751,299.95975,1.0769463,-69.22824096679688,-61.32402,79042.22,7288,204500
