ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch
-128.11241149902344,-120.96614,71462.74,272.76184,72.08572,-6.05584731745023,380
-106.59791564941406,-99.4617,71362.164,307.0264,36.87977,-20.29494343565205,383
-87.55138397216797,-80.424034,71273.47,196.35806,19.812527,-46.08238204271631,386
-78.38739776611328,-71.26847,71189.3,137.44537,12.173608,6.486647061589992,389
-166.29347229003906,-159.17279,71206.83,157.63654,140.06049,-14.192591314844904,392
-84.84530639648438,-77.72861,71166.96,101.08208,25.356792,-34.00255306830345,395
-78.39881896972656,-71.28342,71154.0,73.60597,18.579636,-70.82431856091767,398
-75.92998504638672,-68.814125,71158.625,107.031624,11.587919,-15.910586661049589,401
-5141836288.0,-5141836300.0,82130.7,11779894.0,141682.53,-25.22547341022623,404
-656885760.0,-656885760.0,81883.95,9872188.0,147564.81,-5.864380801766904,407
-96768952.0,-96768940.0,81825.766,9695886.0,189523.7,-22.338347813522773,410
-18582524.0,-18582516.0,81802.09,9257084.0,182041.16,-26.155929262859697,413
-4849441.5,-4849433.5,81781.95,8933264.0,171309.97,-8.319101940137323,416
-3398239.0,-3398230.8,81770.03,8280967.0,184751.78,-16.483856568384855,419
-1108695.25,-1108687.1,81759.375,8848558.0,199140.39,6.472932071850648,422
-669506.1875,-669498.0,81751.2,7959561.5,193356.12,-19.949837406961016,425
-883418.1875,-883410.0,81745.14,7777274.0,205154.06,-1.345477497811042,428
-629123.1875,-629115.0,81738.87,7676982.0,161160.4,-24.534301103298425,431
-578394.9375,-578386.75,81721.82,6464941.0,198548.56,-29.907838522859848,434
-474587.90625,-474579.75,81696.3,5447091.5,156550.72,-10.854327582557858,437
-427908.25,-427900.1,81659.0,4800091.0,152267.02,-21.58494755648101,440
-399608.78125,-399600.62,81603.48,4461536.0,144301.34,-23.52366156592915,443
-307192.40625,-307184.25,81529.33,3486243.5,105256.61,-7.9203561632771375,446
-277350.34375,-277342.2,81427.58,3001990.5,109580.97,-11.628553770681531,449
-221238.078125,-221229.95,81297.97,2329844.0,93872.28,-31.442531544679746,452
-180810.984375,-180802.88,81137.625,1988147.2,68298.38,-18.553325732940788,455
-143232.515625,-143224.42,80945.33,1620216.2,49557.64,-19.589073121075476,458
-119895.5625,-119887.484,80761.336,1287715.9,48320.08,-29.388382959746625,461
-85748.6640625,-85740.61,80576.8,943366.1,32292.434,-21.899913339188643,464
-67214.3671875,-67206.33,80426.31,730529.2,26185.951,-22.424528903051126,467
-53955.46484375,-53947.438,80271.19,602379.8,19406.742,-45.96163991417032,470
-39341.89453125,-39333.883,80121.59,435169.97,14531.652,-7.552517252059098,473
-27664.373046875,-27656.375,79989.97,307255.88,10065.912,-15.189994881552137,476
-21720.953125,-21712.965,79890.125,252599.02,6748.3604,-9.523011311209881,479
-13801.181640625,-13793.196,79849.34,165710.16,3733.322,-11.78549998125343,482
-9188.5576171875,-9180.572,79852.0,108860.82,2601.667,-13.733120612902976,485
-6327.1484375,-6319.1562,79920.875,79643.15,1294.8013,-14.128422368646323,488
-145813.875,-145805.88,80070.516,54105.945,865.8446,-26.53020679319484,491
-2965.678955078125,-2957.6477,80312.3,37662.48,525.19336,-9.21997594779071,494
-2326.679443359375,-2318.6162,80632.7,29533.684,393.7054,-10.888032963445788,497
-1747.43310546875,-1739.3389,80942.54,22361.723,254.83899,-16.553142059591316,500
-1280.223388671875,-1272.0945,81288.484,16098.941,190.61818,-16.720912868209705,503
-906.344482421875,-898.1775,81669.7,10795.158,168.41776,-5.593249975638676,506
-657.6239013671875,-649.41675,82071.45,7746.6133,105.65074,-7.755693591324902,509
-477.8172607421875,-469.56934,82479.125,5226.091,91.92258,-9.182911249590758,512
-335.69140625,-327.40466,82867.56,3435.115,60.92759,-9.842765798812518,515
-268.49359130859375,-260.1743,83192.96,2636.6414,41.421154,-6.979855238145504,518
-185.62841796875,-177.29218,83362.414,1531.4143,29.459724,-25.842663807875905,521
-146.19151306152344,-137.85345,83380.59,1022.8331,22.03487,-13.980864140954981,524
-115.88198852539062,-107.56221,83197.78,664.01624,13.151793,-16.98162860609973,527
-99.94760131835938,-91.67025,82773.5,444.76578,11.591533,-21.476369315072148,530
-122.47109985351562,-114.27693,81941.695,800.96704,9.379824,-25.306727266606543,533
-90.48322296142578,-82.41,80732.18,362.9361,6.0896177,-41.45309658690942,536
-105.16444396972656,-97.23714,79273.08,594.5939,4.835531,-17.687822311325856,539
-161.950439453125,-154.18497,77654.734,584.75,89.97806,-22.067183466689098,542
-1970.2266845703125,-1962.594,76326.66,711.62494,2749.7778,-23.599545947756972,545
-290.0030517578125,-282.47614,75269.016,2996.8037,38.362823,-24.175317968593014,548
