ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
30.785673141479492,34.30595,35202.77,0.11247804,0.15648475,0.37110633,0.2045077,8.531351089477539,10.430324,18989.72,216.63621255229228,254,25500
29.045677185058594,32.728058,36823.805,0.21960227,0.16796708,0.1318149,0.08594503,19.286909103393555,21.437584,21506.754,214.68853029946897,257,25800
30.699060440063477,34.510227,38111.664,0.24993859,0.13770561,0.14906524,0.21287906,19.80732536315918,22.197767,23904.426,214.83713683776375,260,26100
32.477027893066406,36.351875,38748.457,0.52184623,0.09144294,0.091723286,0.09556564,22.544788360595703,25.144361,25995.738,177.92351051999108,263,26400
31.99925422668457,35.946407,39471.53,0.15021625,0.13056484,0.10659677,0.11859699,23.49483871459961,26.27322,27783.805,205.6152547415902,266,26700
31.982032775878906,35.989944,40079.11,0.20799427,0.088725105,0.09500681,0.08809253,24.956939697265625,27.888382,29314.414,210.10312115558403,269,27000
32.43645477294922,36.491478,40550.234,0.24321114,0.13134935,0.11928035,0.12194021,23.94605827331543,26.995098,30490.398,212.67771552410187,272,27300
34.82394027709961,38.926598,41026.586,0.13929129,0.06565093,0.10640326,0.13654032,26.733036041259766,29.874475,31414.39,208.24819459696633,275,27600
33.071746826171875,37.22396,41522.14,0.21136889,0.116827846,0.066553704,0.14176263,24.12696075439453,27.346632,32196.71,221.45350232557564,278,27900
32.18650436401367,36.377113,41906.086,0.26373023,0.109770864,0.1183967,0.08934039,27.50545883178711,30.78522,32797.594,227.24833000219124,281,28200
34.659576416015625,38.885765,42261.87,0.202844,0.10267488,0.05807177,0.080118835,29.0024471282959,32.333866,33314.184,212.53163103237225,284,28500
33.45486831665039,37.71167,42568.016,0.24441423,0.12080303,0.09060165,0.12153586,25.093713760375977,28.468176,33744.625,216.8004663615544,287,28800
35.06776809692383,39.3461,42783.32,0.33738524,0.0866603,0.10123551,0.11195564,28.272478103637695,31.678146,34056.688,190.40011463026065,290,29100
35.013580322265625,39.317352,43037.734,0.14314361,0.09015423,0.07713026,0.08839215,30.207656860351562,33.642174,34345.164,197.93253861688723,293,29400
34.037498474121094,38.36145,43239.508,0.35314983,0.10976675,0.04479904,0.0613709,26.34573745727539,29.80582,34600.836,170.46524951704436,296,29700
36.58697509765625,40.926186,43392.117,0.25452605,0.07461437,0.0950803,0.11747037,27.53795051574707,31.024807,34868.562,174.8045956740077,299,30000
11.859318733215332,15.346174,34868.555,0.026363518,0.27970594,0.07843981,0.10013166,29.69706916809082,33.2056,35085.316,41.93321775150946,302,30300
11.758225440979004,15.244836,34866.1,0.07319279,2.1103697,0.031865433,0.12783945,31.117799758911133,34.64339,35255.902,152.22649816107884,305,30600
31.567031860351562,35.107197,35401.65,0.04034613,0.2998101,0.06466721,0.095840715,27.72583770751953,31.267204,35413.656,153.99254114322764,308,30900
38.14258575439453,41.801266,36586.78,0.021577265,0.12649819,0.0785213,0.107882544,30.59664535522461,34.15324,35565.945,180.3484254633096,311,31200
40.07951736450195,43.857735,37782.164,0.029877907,0.089511074,0.07716645,0.14219517,30.134923934936523,33.707306,35723.824,181.61197596889912,314,31500
43.113624572753906,46.977215,38635.906,0.03127383,0.07549341,0.07858941,0.16938041,26.48309326171875,30.071373,35882.79,145.9648000740831,317,31800
42.76050567626953,46.69432,39338.145,0.0332008,0.09054172,0.07120208,0.11314625,28.04158592224121,31.639969,35983.836,154.32751875892157,320,32100
45.96145248413086,49.946278,39848.246,0.01944188,0.087798774,0.07317891,0.101631455,27.914608001708984,31.519602,36049.93,147.86134390670324,323,32400
47.41633987426758,51.441494,40251.54,0.01721773,0.08157927,0.113568805,0.17460632,27.830780029296875,31.45467,36238.906,151.21958602791253,326,32700
44.66555404663086,48.72283,40572.766,0.030910203,0.06435574,0.061684545,0.0876813,30.831518173217773,34.459045,36275.273,152.53393352261335,329,33000
