ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-4945.64794921875,-4937.893,77550.63,72096.2,8.249677,-24.141080985909735,153114.6,315.681,-10636.2646484375,-10628.247,80172.29,233
-6011.95751953125,-6004.1875,77700.0,87846.11,9.041131,-52.39857207954646,113246.88,428.98123,-8015.1953125,-8007.1606,80345.89,236
-7071.8994140625,-7064.116,77832.48,103468.55,13.172878,-48.79209818351435,120188.36,1369.4601,-9121.326171875,-9113.274,80519.37,239
-3878.88037109375,-3871.0789,78015.1,56390.47,2.2735968,-21.12749406950906,50751.99,128.06161,-3582.719970703125,-3574.6538,80661.11,242
-3268.035888671875,-3260.2195,78164.07,47371.39,1.4464265,-29.69977328675592,72772.28,125.48865,-5071.05126953125,-5062.974,80773.29,245
-3818.424072265625,-3810.5923,78317.875,55494.508,2.4822261,-47.4845054508335,242095.64,165.47784,-16640.59375,-16632.504,80892.47,248
-3801.311767578125,-3793.4656,78460.98,55258.88,0.7350943,-12.06282489715217,79049.0,50.689392,-5445.1943359375,-5437.0903,81042.016,251
-6106.26806640625,-6098.4087,78593.19,89319.59,0.93422955,-11.729975275321246,52933.742,35.887177,-3668.0419921875,-3659.9158,81262.58,254
-2545.945068359375,-2538.0728,78724.17,36701.11,1.2780356,-58.39816522695077,50933.75,16.31974,-3519.487060546875,-3511.3406,81464.75,257
-1648.7034912109375,-1640.8173,78862.23,23445.2,0.8948084,-27.68622232333932,38442.125,8.793791,-2669.12939453125,-2660.9688,81606.484,260
-1670.4434814453125,-1662.5428,79006.625,23658.842,11.637337,-17.08853870763301,31778.715,2.374271,-2213.90478515625,-2205.7275,81773.55,263
-1736.99365234375,-1729.0775,79160.92,24701.312,5.715654,-46.3873318801208,33776.055,0.973729,-2348.132568359375,-2339.9353,81971.78,266
-1332.2850341796875,-1324.3539,79310.97,18760.02,1.739583,-28.59993216210005,32971.64,2.4099083,-2294.69140625,-2286.4739,82175.16,269
-1073.5662841796875,-1065.6224,79438.49,14943.775,1.0080124,-18.14077497912856,14271.898,0.9489386,-1028.357421875,-1020.11804,82394.375,272
-1936.2510986328125,-1928.2949,79561.17,27671.086,3.1441722,-11.549738659326966,17905.432,0.82232237,-1274.1689453125,-1265.9052,82638.44,275
-732.920166015625,-724.9502,79699.43,9907.767,1.1596605,-40.196780341702066,11383.884,0.9703593,-832.98974609375,-824.7075,82822.56,278
-294.97064208984375,-286.99005,79805.82,3435.69,1.1448958,-37.50312746036803,7020.4346,1.0321801,-537.7885131835938,-529.485,83035.49,281
-330.0133361816406,-322.02383,79895.08,3955.5552,0.931721,-23.077814627975513,12687.428,2.1183867,-922.0181274414062,-913.6921,83260.47,284
-1111.0450439453125,-1103.0457,79994.47,15498.572,0.8327893,15.168017127958743,3511.81,1.506944,-300.7351379394531,-292.3859,83492.54,287
-350.3832702636719,-342.3741,80091.56,4257.609,0.8002404,-52.627523231193116,3294.4705,1.8120646,-286.25592041015625,-277.8855,83704.08,290
-627.8146362304688,-619.7962,80184.1,8356.738,0.86478424,-18.266743349732717,3535.729,2.9946914,-303.3985900878906,-295.01117,83874.25,293
-507.78472900390625,-499.7583,80264.18,6584.277,0.71754265,-32.55857053410492,3378.4233,1.4173231,-291.6903991699219,-283.29926,83911.42,296
-328.6966552734375,-320.66254,80341.125,3936.2075,0.85471326,-44.576498416235395,502.68735,0.7736126,-96.65077209472656,-88.26943,83813.44,299
-268.6099548339844,-260.56854,80414.11,3049.0645,0.7614464,2.289736357506428,894.0612,1.6640406,-123.71849060058594,-115.355316,83631.78,302
-141.63818359375,-133.59787,80403.14,1171.5269,0.87653714,-20.55715414128686,940.12524,0.9334259,-126.31199645996094,-117.97797,83340.33,305
-182.03927612304688,-174.00261,80366.59,1766.2598,1.1138227,-15.275107862606752,849.14374,0.78389347,-120.01172637939453,-111.720276,82914.52,308
-255.1997833251953,-247.16953,80302.516,2850.9038,0.7763064,-9.948311673624039,1677.8928,1.3141334,-176.4019775390625,-168.15857,82434.1,311
-175.5773162841797,-167.56146,80158.49,1672.6575,0.9552639,2.494738135343389,351.60333,0.791554,-86.24661254882812,-78.058075,81885.4,314
-145.7676544189453,-137.77203,79956.16,1234.7253,0.72529167,-24.043522284964258,740.22473,0.8017655,-112.47970581054688,-104.362076,81176.33,317
-102.18523406982422,-94.21607,79691.61,588.184,1.0119601,-43.31808732331864,1269.4327,0.9010034,-148.27392578125,-140.23949,80344.35,320
-85.90579986572266,-77.97322,79325.79,343.4237,1.4841181,-15.737853146343237,257.70996,2.3093562,-80.6808853149414,-72.73158,79493.0,323
-122.62783813476562,-114.7388,78890.414,894.23157,0.73591304,-17.908422317340268,860.5596,2.09345,-121.23470306396484,-113.37891,78557.99,326
-124.2997817993164,-116.45562,78441.64,919.3437,0.76184744,-56.90866260394884,308.2385,1.4462248,-83.32888793945312,-75.56668,77622.05,329
-87.97819519042969,-80.18644,77917.58,382.21558,0.8756516,-12.179498233549067,160.4847,1.1810164,-73.04570770263672,-65.38907,76566.37,332
-82.5925064086914,-74.851494,77410.09,304.38794,0.7743757,-30.893028934951673,208.15852,1.3908002,-76.29177856445312,-68.757,75347.78,335
-80.63738250732422,-72.95647,76809.19,273.58176,1.0545008,-20.032550164738133,134.90872,1.279407,-71.13020324707031,-63.724976,74052.28,338
-85.4797592163086,-77.87172,76080.375,349.3954,0.73695123,-48.73030080095437,65.6104,1.0497496,-66.15562438964844,-58.88032,72753.05,341
-76.94830322265625,-69.41212,75361.84,194.9455,3.6802387,-0.9016553809517394,132.21132,1.2502551,-70.65994262695312,-63.522724,71372.2,344
-68.05131530761719,-60.600315,74510.0,92.85478,0.8671392,-1.9934979780893407,784.70667,0.9863266,-114.51824951171875,-107.49695,70213.016,347
-76.67515563964844,-69.31809,73570.63,223.33932,0.70191425,-27.138844209275742,3756.7825,1.6468395,-315.9790954589844,-309.0573,69217.984,350
-77.79266357421875,-70.542915,72497.516,230.58966,1.78693,-20.344013460110855,503.04068,0.8844749,-95.1952896118164,-88.36836,68269.25,353
-76.46092224121094,-69.34589,71150.34,223.29434,0.74748605,-5.558756294384097,91.62731,1.1670611,-67.43990325927734,-60.720203,67196.984,356
