ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
-20390.052734375,-20382.62,74329.375,207647.52,9277.51,332870.2,4340.6445,-25523.369140625,-25515.484,78842.984,-11.028659946743346,116,11700
-17445.23046875,-17437.773,74560.984,177361.03,7954.2285,330058.56,3729.8657,-24919.8203125,-24911.924,78955.39,-14.533586719310769,119,12000
-16900.416015625,-16892.932,74846.805,166601.58,8225.004,294246.38,3378.8726,-22258.998046875,-22251.09,79091.61,-20.458423940490935,122,12300
-13622.875,-13615.355,75197.8,129254.34,7116.087,241301.9,861.1062,-16972.68359375,-16964.752,79315.375,-14.393411068633059,125,12600
-11588.8056640625,-11581.246,75596.34,100222.59,7013.2334,155748.52,770.6272,-11122.2939453125,-11114.329,79650.516,-11.330071010626357,128,12900
-9692.37109375,-9684.766,76051.875,85492.56,5683.596,154430.2,505.40875,-10853.6533203125,-10845.656,79970.08,0.8899174398834266,131,13200
-6927.40576171875,-6919.751,76548.58,62698.07,3876.875,94769.77,220.1773,-6623.59814453125,-6615.566,80322.17,-26.60989860024167,134,13500
-5188.38623046875,-5180.678,77080.17,45280.61,3048.6006,65065.375,92.128685,-4526.96533203125,-4518.892,80732.234,-10.623764123419248,137,13800
-4434.94677734375,-4427.1846,77624.41,37101.875,2752.9521,44178.69,30.88877,-3072.21826171875,-3064.0999,81183.03,-6.806150214133238,140,14100
-3501.398681640625,-3493.58,78185.42,27510.36,2332.413,45442.414,18.2789,-3149.246826171875,-3141.08,81668.49,-3.5325668913515083,143,14400
-2477.857421875,-2469.9773,78800.53,17894.162,1781.3408,22942.3,2.6639318,-1616.203125,-1607.9843,82188.47,-22.391392228176862,146,14700
-2471.653076171875,-2463.7085,79445.56,19754.84,1586.0088,24294.4,2.0626788,-1707.344482421875,-1699.0708,82736.67,-5.0707904484290545,149,15000
-1484.7618408203125,-1476.759,80028.03,11273.471,975.6208,11241.786,0.8242872,-823.32080078125,-814.9933,83275.41,0.5734172592146238,152,15300
-1146.054443359375,-1137.9954,80591.38,7898.8604,812.45306,9640.479,1.5687712,-715.519775390625,-707.14026,83795.42,-28.386647710462743,155,15600
-828.39453125,-820.27716,81173.61,5288.427,603.9689,5388.397,0.9540095,-427.4234924316406,-418.99594,84275.59,-1.3100029111476104,158,15900
-603.361083984375,-595.18164,81794.46,3921.6821,407.99475,2865.0288,0.9544594,-256.7180480957031,-248.24588,84721.766,-19.48004498867846,161,16200
-367.0432434082031,-358.80014,82431.05,2170.3677,233.7989,3066.5222,0.5293921,-270.0499572753906,-261.59283,84571.31,-25.503755569065657,164,16500
-315.86236572265625,-307.55493,83074.4,1698.4152,205.26341,1753.1904,0.5032672,-181.1549835205078,-172.7051,84498.92,-28.569705619636128,167,16800
