ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-95.21427917480469,-87.64438,75698.97,497.37668,0.38097066,-15.282718013959565,595.3723,16.094715,-112.79058074951172,-104.90863,78819.51,230,23100
-83.4640884399414,-75.89426,75698.33,324.04236,0.3499475,-7.4617349214529,586.5587,12.962488,-110.05784606933594,-102.19273,78651.13,233,23400
-81.30355834960938,-73.73856,75649.97,291.73187,0.3952791,-3.4251915624137528,400.0659,4.885105,-91.9508285522461,-84.10743,78433.984,236,23700
-76.40330505371094,-68.842834,75604.69,219.57596,0.37591797,-19.4479935594839,228.73325,1.5828664,-78.09246063232422,-70.279205,78132.555,239,24000
-71.62427520751953,-64.07344,75508.33,150.64124,0.3210422,-19.229986775053003,189.40317,1.6001611,-75.40010070800781,-67.62954,77705.59,242,24300
-93.604736328125,-86.0797,75250.414,285.54932,19.251396,-4.937739500648108,23557.6,0.7177433,-1656.0098876953125,-1648.3032,77067.2,245,24600
-80.97157287597656,-73.46008,75114.93,204.42764,8.714156,-1.314278306943228,4337.16,0.83438444,-355.4610595703125,-347.78027,76807.75,248,24900
-71.648681640625,-64.1576,74910.83,112.765465,4.133067,-31.542004563726234,3313.0076,0.5579454,-285.9508361816406,-278.29123,76595.94,251,25200
-67.41168212890625,-59.951866,74598.125,75.23128,1.6712005,-25.457664939397098,2034.0663,0.5519809,-199.39129638671875,-191.74426,76470.375,254,25500
-65.51385498046875,-58.098835,74150.24,56.545517,0.8013514,-18.483370695765103,1242.26,0.78387547,-145.95413208007812,-138.32152,76326.125,257,25800
-64.0914077758789,-56.739716,73516.93,40.197166,0.4276647,-16.44905117335382,1216.4939,0.4904774,-143.99427795410156,-136.37946,76148.17,260,26100
-63.456268310546875,-56.188198,72680.72,32.77597,0.3547427,-12.070821705070305,1265.9672,0.4674656,-147.30322265625,-139.71161,75916.13,263,26400
-62.6771354675293,-55.518703,71584.33,23.54845,0.28810936,-9.623270125352544,955.65576,0.43231726,-126.25928497314453,-118.6898,75694.86,266,26700
-69.14604949951172,-62.106384,70396.625,120.57625,0.32067955,-30.32057165634356,2342.6365,0.7490772,-220.30096435546875,-212.75784,75431.266,269,27000
-64.68408203125,-57.69063,69934.47,55.347908,0.3178643,-16.99176592432972,717.038,0.63282394,-110.2128677368164,-102.67877,75340.93,272,27300
-78.65809631347656,-71.71435,69437.51,262.40564,0.33649918,-16.68509430797456,445.2138,0.60664356,-91.787353515625,-84.26735,75200.016,275,27600
-73.99649810791016,-67.12015,68763.48,194.66748,0.32095715,-15.197521657872919,570.2362,0.56298554,-100.19624328613281,-92.69777,74984.766,278,27900
-63.327735900878906,-56.537125,67906.125,38.372795,0.3107075,-14.395114725068533,169.98416,0.5811038,-73.09490966796875,-65.62592,74689.84,281,28200
-86.93309020996094,-80.19213,67409.6,256.42892,13.462734,-7.844948371278893,67.69042,0.6706483,-66.196044921875,-58.764545,74315.0,284,28500
-73.33940124511719,-66.61457,67248.31,144.04361,4.6361847,-7.3558303605356015,89.721664,0.57566065,-67.57198333740234,-60.19107,73809.125,287,28800
-67.42113494873047,-60.7134,67077.32,78.49063,2.4706793,-10.929102901645557,47.11459,0.7135364,-64.71929931640625,-57.401245,73180.57,290,29100
-64.60763549804688,-57.921528,66861.08,45.469383,1.6469382,6.2583729357662055,25.098385,0.6413294,-63.1004638671875,-55.862602,72378.61,293,29400
